exp_num,num_classes,num_observations,first_class_perc,pred_approach,mean_accuracy,sd_accuracy,quantile_accuracy,mean_sensitivity,sd_sensitivity,quantile_sensitivity,mean_specificity,sd_specificity,quantile_specificity,mean_g_mean,sd_g_mean,quantile_g_mean,mean_precision,sd_precision,quantile_precision,mean_recall,sd_recall,quantile_recall,mean_f_measure,sd_f_measure,quantile_f_measure
83,3,100,0.2,proportional,0.36005,0.04678051241312095,0.47,0.20032,0.08980648150557977,0.45,0.8001175,0.04487482667105106,0.9,0.38798024119303104,0.098593506438044,0.5873670062235365,0.2003081191155679,0.08255497337103143,0.4,0.20032,0.08980648150557977,0.45,0.20029205205482858,0.08057345358567816,0.39999999999999997
84,3,100,0.2,uniform,0.333169,0.04705346790497155,0.44,0.33179,0.10582303979557173,0.6,0.66708749999999994,0.052303593665646284,0.7875,0.4636288165691472,0.08058206868572851,0.6368918649334124,0.19946028949895922,0.05834099587524708,0.34375,0.33179,0.10582303979557173,0.6,0.248110072240982,0.0728640640234269,0.4211740890688249
85,3,100,0.3333333333333333,most_frequent,0.33,0,0.33,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
86,3,100,0.3333333333333333,proportional,0.333268,0.04752353127243871,0.45,0.3311121212121212,0.08177920180061429,0.5151515151515151,0.6692567164179104,0.05731020348845814,0.8059701492537313,0.46658959232202707,0.06286195784794629,0.6078783234194326,0.3302813115915895,0.06848149417061812,0.5,0.3311121212121212,0.08177920180061429,0.5151515151515151,0.32903286152156597,0.07131142570588656,0.4999999999999999
87,3,100,0.3333333333333333,uniform,0.333695,0.047387989376567935,0.45,0.3327030303030303,0.0823557311667621,0.5454545454545454,0.6664328358208955,0.05783712204614957,0.7910447761194029,0.4666621080369464,0.06289134376356957,0.6075061909551595,0.3294083398585093,0.06815827100524062,0.5,0.3327030303030303,0.0823557311667621,0.5454545454545454,0.32936941446179324,0.07138585422521888,0.4931506849315069
88,3,100,0.5,most_frequent,0.25,0,0.25,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
89,3,100,0.5,proportional,0.375453,0.046648391164538824,0.49,0.500104,0.07092652706303984,0.66,0.50107,0.07082963210181434,0.66,0.49803642950648025,0.050571638627792875,0.6170899448216606,0.5005833242637807,0.05103721675819837,0.62,0.500104,0.07092652706303984,0.66,0.4990812936535809,0.05640723524602359,0.6238532110091743
90,3,100,0.5,uniform,0.333642,0.047286567204056947,0.45,0.334582,0.06657994115990555,0.48,0.665994,0.06663149360170428,0.82,0.4690438215076296,0.05309289397893107,0.5912698199637794,0.5004365172291062,0.0715015978828527,0.6666666666666666,0.334582,0.06657994115990555,0.48,0.39911120845858555,0.06590541961895123,0.5454545454545454
91,3,1000,0.01,most_frequent,0.495,0,0.495,0,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
92,3,1000,0.01,proportional,0.4899917,0.01574845492399967,0.527,0.01005,0.03130647711817724,0.1,0.9899477777777778,0.0031697787078300904,0.996969696969697,0.030934631889695245,0.09482572139753329,0.31526804372460493,0.009953604894917912,0.032757299502714506,0.14285714285714285,0.01005,0.03130647711817724,0.1,0.1005945756561369,0.02191306933984879,0.18467532467532502
